der/die Alte|old man/woman
das Alter. -|age
Alter!|dude!
der Angriff, -e|attack
die Ansicht, -en|opinion, view
der Anteil, -e|share, portion
die Ausbildung, -en|training, development
die Ausgabe, -n|distribution, edition, expenses
der Bahnhof, -höfe|train station
der Ball, die Bälle|ball
der Baum, die Bäume|tree
der Einwohner, -|inhabitant
der Fehler, -|mistake, error
die Forderung, -en|demand, claim
der Franken, -|franc
die Freude, -n|joy, pleasure
das Gefühl, -e|feeling
das Gesicht, -er|face
der Grad, -e|degree
der Hintergrund, -gründe|background
die Insel, -n|island
die Kandidatin, -nen|candidate (f)
der Kandidat, -en|candidate (m)
der Kanton, -e|canton
der Konzern, -e|corporation
der Landkreis, -e|district, county
das Licht, -er|light
die Luft, Lüfte|air
die Menge, -n|quantity, amount, a lot
das Modell, -e|model
das Motto, -s|motto
die Nähe|vicinity, proximity
die Natur, -en|nature
die Nummer, -n|number
die Patientin, -nen|patient (f)
der Patient, -en|patient (m)
das Produkt, -e|product
die Professorin, -nen|professor (f)
der Professor, -en|professor (m)
das Rathaus, -häuser|city hall
die Redaktion, -en|editorial dept., editors
der Roman, -e|Novel
der Schluss, die Schlüsse|conclusion, end
die Sekunde, -n|second
die Serie, -n|series
die Sicht, -en|sight, view
der Spaß, die Späße|fun
die Spitze, -n|point, top, peak
der Standort, -e|site, location
der Streit|argument
die Szene, -n|scene
die Tat, -en|deed
die Tür, -en|door
der Unfall, -fälle|accident
die Verbindung, -en|connection, link
das Verfahren, -|method, process, technique
die Verhandlung, -en|negotiation
der Versuch, -e|attempt, experiment
der Vorwurf, -würfe|reproach, accusation
der Wald, die Wälder|woods, forest
beenden, beendete, beendet|to end sth. finish sth.
besitzen, besaß, besessen|to possess, own, occupy
beweisen, bewies, bewiesen|to prove
bezahlen, bezahlte, bezahlt|to pay
enden, endete, geendet|to end
greifen, griff, gegriffen|to take hold of, reach
herrschen, herrschte, geherrscht|to rule, prevail
informieren, informierte, informiert|to inform
lauten, lautete, gelautet|to be (answer)
mitteilen, teilte mit, mitgeteilt|to inform
organisieren, organisierte, organisiert|to organize
passen, passte, gepasst|to fit, suit, pass
richten, richtete, gerichtet|to direct, repair, follow
sinken, sank, ist gesunken|sink, drop
stecken, steckte, gesteckt|to put, to be located
stoßen, stieß, gestoßen|to bump, push
teilnehmen (nimmt teil), nahm teil, teilgenommen|to take part, participate
(sich) verändern, veränderte, verändert|to change
vergessen (vergisst), vergaß, vergessen|to forget
veröffentlichen, veröffentlichte, veröffentlicht|to publish
wohnen, wohnte, gewohnt|to live, reside
angesichts|in view of
aufgrund|on the basis of, because of
der/die/dasselbe|the same
echt|genuine, real
entfernt|distant
genug|enough
grün|green
heiß|hot
her|from somewhere, towards the speaker
interessant|interesting
konkret|concrete
manchmal|sometimes
offenbar|obvious
regelmäßig|regular
rein|pure, clear, clean
speziell|special
staatlich|state, government, national
ständig|constant
stets|always
tätig|active
teilweise|partly
im Alter von|at the age of
im Angriff|on the attack
meiner Ansicht nach|in my view
Ich bin anderer Ansicht.|I beg to differ.
Nur ein kleiner Anteil der Bevölkerung hat vier oder mehr Kinder.|Only a small share of the population has four or more children.
Was für eine Ausbildung haben Sie?|What's your educational background?
akademische Ausbildung|academic training
Die neue, überarbeitete Ausgabe ist viel besser.|The new, revised edition is much better.
Zum Glück erstattet mein Chef mir die Ausgaben.|Luckily, my boss will reimburse my expenses.
Der Zug fährt vom Hauptbahnhof ab.|The train departs from the main train station.
Wirf den Ball!|Throw the ball! (informal singular)
auf einen Baum klettern|to climb a tree
Deutschland hat fast 81,5 Millionen EinwohnerInnen.|Germany has almost 81.5 million inhabitants.
Mein Fehler!|My bad!
Sein Aufsatz ist gut, ich habe nur ein paar kleine Fehler korrigiert.|His essay is good. I corrected only a few small mistakes.
Mein Chef hat alle meine Forderungen akzeptiert.|My boss accepted all my demands.
Der Schweizer Franken ist die Währung der Schweiz und Liechtensteins.|The Swiss franc is the currency of Switzerland and Liechtenstein.
Es war mir eine Freude, mit Ihnen zu arbeiten.|It has been a pleasure to work with you.
Ich habe das Gefühl, verrückt zu werden.|I have the feeling I'm going crazy.
bekannte Gesichter|familiar faces
32 Grad Fahrenheit = 0 Grad Celsius|32 ° Fahrenheit = 0 ° Celsius
Diese Geschichte zeigt einen hohen Grad an Komplexität.|This story presents a high degree of complexity.
einen akademischen Grad in Physik erwerben|to get a degree in physics
Ich habe einen Hintergrund in Physik.|I have a background in physics.
Grünland ist die größte Insel der Welt.|Greenland is the largest island in the world.
Die Kandidatin kämpft für das Präsidentenamt.|The candidate (f) is campaigning for president.
Der Kandidat kämpft für das Präsidentenamt.|The candidate (m) is campaigning for president.
Die Schweiz besteht aus 26 Kantonen.|Switzerland consists of 26 cantons.
ein multinationaler Konzern|a multinational corporation
Die kleinen Dörfer gehören zu einem Landkreis.|The small villages belong to a county.
Mach das Licht aus.|Turn off the lights.
frische Luft|fresh air
Ich kriege keine Luft.|I can't breathe
Die Luft ist rein.|The coast is clear. (lit. the air is pure)
Die Medizin ist harmlos in kleinen Mengen.|The medicine is harmless in small quantities.
Ich habe eine Menge Arbeit.|I have a ton of work.
Die Menschenrechtsorganisation In-house hat das Motto „Hass ist keine Meinung."|The human rights organization In-house has the motto "Hate is not an opinion."
Ich mag mein Auto, würde aber gern das neueste Modell besitzen.|I like my car but would love to own the latest model.
in der Nähe von|in the vicinity of, near
Es liegt ihr in der Natur.|It's in her nature.
auf Nummer sicher gehen|to play it safe (idiom.)
Die Patientin braucht viel Ruhe.|The patient (f) needs a lot of rest.
Der Patient ist stabil.|The patient (m) is stable.
zum Schluss|finally, at the end
Schluss mit lustig.|The party is over.
Schluss für heute.|That's it for today.
Eine Minute besteht aus 60 Sekunden.|A minute consists of 60 seconds.
Das Ende ist in Sicht.|The end is (with)in sight.
Aus heutiger Sicht hätten einige Fehler vermieden werden können.|From today's perspective, some mistakes could have been avoided.
nur zum Spaß|just for fun
Das macht mir Spaß.|It's fun.
Spaß haben|to have fun
Es kam zum Streit.|An argument broke out.
Ich habe meine gute Tat heute schon vollbracht.|I have done my good deed for the day.
in der Tat|indeed, actually, in fact
England und die USA haben viele kulturelle Verbindungen.|England and the USA have many cultural ties.
Bierbrauen ist ein ziemlich komplexes Verfahren.|Brewing beer is quite a complex procedure.
Die Verhandlungen um den neuen Vertrag dauerten den ganzen Tag.|Negotiations for the new contract lasted all day.
Ich mache ihnen keinen Vorwurf.|I don't blame them.
Es ist Zeit, die Diskussion zu beenden.|It is time to end the discussion.
Wo wird das noch enden?|Where will it all end?
Ich griff das Seil und zog mich hoch.|I grabbed the rope and pulled myself up.
Die Königin herrschte erfolgreich über ihr Reich.|The queen ruled successfully in her realm.
Wie lautet der Originaltext?|What is the original text?
Der Manager teilte seine Entscheidung den Mitarbeitern mit.|The manager communicated his decision to the employees.
Ich freue mich, Ihnen mitteilen zu können, ...|I am pleased to be able to inform . . .
Die Hose passt wie angegossen.|The pants fit like a glove.
Alles wird ihm passen.|Anything will do for him.
Der Hut passt zum Mantel.|The hat goes well with the coat.
Ich richtete die Kamera auf meinen Freund und machte das Foto.|I pointed the camera at my friend and took the photo.
Die Preise sinken.|The prices are dropping.
Sie sanken einander in die Arme.|They sank into each other's arms.
Er zählte das Geld und steckte es in seine Geldbörse.|He counted the money and put it in his wallet.
Wo steckst du denn?|Where in the world are you?
Im Urlaub stieß ich auf einen alten Bekannten.|On vacation I bumped into an old acquaintance.
Ich habe mich am Schrank gestoßen.|I bumped into the closet.
Er hat mich gestoßen.|He pushed me.
Hunderte von Athleten nahmen am Wettbewerb teil.|Hundreds of athletes partook in the competition.
Die Entdeckungen Einsteins haben unser Weltbild grundlegend verändert.|Einstein's discoveries have fundamentally changed our view of the world.
Er hat sich in all den Jahren sehr verändert.|He's changed a lot over the years.
angesichts der Tatsache, dass ...|given the fact that ...
Vorurteil {n} aufgrund der Hautfarbe|prejudice based on skin color
aufgrund der Tatsache, dass ...|due to the fact that ...
Echt?!|Really?!
ein Steinwurf entfernt von|a stone's throw from
weit entfernt von|a world away from
Gras, Frösche und Kiwis sind grün.|Grass, frogs and kiwis are green.
Mir ist heiß.|I'm hot (temperature).
Bier her, Bier her, oder ich fall um! (= Trinklied).|Give me a beer, give me a beer, or I'll fall over! (= drinking song)
Wir haben es hier offenbar mit Genies zu tun. [ironisch]|Clearly we're dealing with geniuses. [ironic]
Wir treffen uns regelmäßig|We meet regularly.
Staatliche Infrastrukturen werden durch Steuern finanziert.|State-owned infrastructures are funded by taxation.
Sie lebte in ständiger Furcht.|She lived in constant fear.
Er muss ständig seinen Senf dazugeben.|He always has to butt in (lit. add his mustard).
Wie steht's? - Wie stets!|How's things? - As always / The usual!
In welcher Branche sind Sie tätig?|What line are you in?
tätig sein als|to operate as
Heute wird es teilweise bewölkt sein.|Today it will be partly cloudy.
