aus Erfahrung|from experience, empirically
durch Erfahrung|by experience
ohne Erfahrung|lacking expertise
praktische Erfahrung|hands-on experience
ländliches Gebiet|rural area
in meinem Gebiet|in my field (area of expertise)
Hauptgericht|main dish, entrée
vor Gericht|in the court before a judge
Höchstes Gericht|Supreme Court
Das Gericht entschied, dass . . .|The court decided that . . .
großes Geschäft|big business, great bargain
ein lukratives Geschäft|a lucrative business
Wie läuft das Geschäft?|How's business?
laut Gesetz, dem Gesetz entsprechend|according to (the) law
vor dem Gesetz|in the eyes of the law
Murphys Gesetz|Murphy's Law
an der Grenze|at the border
über die Grenze gehen|to cross the border
die erste Hälfte|the first half
um die Hälfte|by half
bis zur Hälfte|up to 50%
Du kennst nicht mal die Hälfte!|You don't know the half of it!
Hier noch ein wichtiger Hinweis.|Here's an important tip for you.
Junge, Junge!|Boy oh boy!
enger Kontakt|close contact
Spielen wir noch eine Partie Billard?|Shall we play another game of billiards?
Er sang die Partie des Othello.|He sang the role of Othello.
erste Reihe|front row
außer der Reihe|out of sequence
der Reihe nach|in turn, successively
ein Reihe von Übungen|a set of exercises
zweite Runde|second round
eine Runde spendieren|to pay for a round
Schritt für Schritt|step by step, gradually
als erster Schritt|as a first step
shakespearesche Sprache|Shakespearean language
ein Thema zur Sprache bringen|to broach a topic, raise a subject
ins Theater gehen|to go to the theater
Theater machen: Mach kein Theater!|make a scene: Don't fuss!
ein großes fleischfressendes Tier|a big, carnivorous animal
hohes Tier|big cheese, big boss
ohne Unterstützung|unsupported
finanzielle Unterstützung|financial aid, backing
mündlicher Vertrag|verbal contract
unter Vertrag|under contract
Vetreter der Presse|representatives of the press
Versailler Vertrag|Treaty of Versailles
achtköpfiger Vorstand|eight-member board
Kann ich dir eine Tasse Kaffee anbieten?|Can I offer you a cup of coffee?
jdn als Mitglied in eine Organisation aufnehmen|to take in someone as a member of an org.
das Konzert aufnehmen|to record the concert
Wir bitten um Hilfe.|We are asking for help.
Er bat sie um den ersten Tanz.|He asked her for the first dance.
