der / die Abgeordnete, -n|member of parliament
der Abschnitt, -e|portion, section
der Anlass, die Anlässe|occasion, cause
der Anspruch, die Ansprüche|claim
das Ausland|foreign countries
der Berg, -e|mountain
die Bewegung, -en|movement, motion
die Beziehung, -en|relation(ship)
der Brief, -e|letter
die Bundesliga, -ligen|(sport) national division
die Bundesregierung, -en|Federal Government
der Chor, die Chöre|choir
die Datei, -en|data file
der Eindruck, die Eindrücke|impression
die Energie, -n|energy
das Engagement|commitment
der Fahrer, -|driver (m)
die Fahrerin, -nen|driver (f)
die Farbe, -n|color
das Finale|finale
die Fraktion, -en|faction, fraction
die Gewalt, -en|violence, force
der Gewinn, -e|profit
die Hauptstadt, -städte|capital
der Haushalt, -e|budget, household
die Heimat|homeland
der Hof, die Höfe|courtyard, yard
die Initiative, -n|initiative
die Karriere, -n|career
der Kindergarten, -gärten|kindergarden
die Koalition, -en|coalition
die Macht, die Mächte|might, power
der Moment, -e|moment
der Musiker, -|musician (m)
die Musikerin, -nen|musician (f)
die Nachricht, -en|message, news
die Öffentlichkeit, -en|public
der Osten|east
der Partner, -|partner (m)
die Partnerin, -nen|partner (f)
die Pause, -n|pause
die Qualität, -en|quality
die Reise, -n|trip, travel
der Richter, -|judge (m)
die Richterin, -nen|judge (f)
der See, -n|lake
die See, -n|sea
der Sitz, -e|seat, headquarters
die Stimmung, -en|mood, atmosphere
der Student, -en|student (m)
die Studentin, -nen|student (f)
die Studie, -n|study
die Technik, -en|technology, technique
der Termin, -e|appointment, date
der Tisch, -e|table
die Truppe, -n|troops, unit
das Turnier, -e|tournament
der Umsatz, die Umsätze|turnover, sales
die Vergangenheit, -en|past
der Verkauf, die Verkäufe|sale, selling
der Verkehr|traffic
die Veröffentlichung,-en|publication
die Verwaltung, -en|administration
der Vortrag, die Vorträge|lecture
der Wagen, -|car, carriage
der Weltkrieg, -e|world war
der Winter, -|winter
das Zeichen, -|sign
begrüßen, begrüßte, begrüßt|to greet
besetzen, besetzte, besetzt|to occupy, fill
betreiben, betrieb, betrieben|to proceed w., to operate
bewegen, bewegte, bewegt|to move
diskutieren, diskutierte, diskutiert|to discuss
drehen, drehte, gedreht|to turn
einstellen, stellte ein, eingestellt|to adjust, employ, stop
erläutern, erläuterte, erläutert|to explain
ermöglichen, ermöglichte, ermöglicht|to enable
geschehen, geschah, ist geschehen|to happen, occur
gestalten, gestaltete, gestaltet|to shape, design
interessieren, interessierte, interessiert|to interest
sich interessieren, interessierte sich, sich interessiert|to be interested
prüfen, prüfte, geprüft|to examine, check
retten, rettete, gerettet|to save, rescue
sammeln, sammelte, gesammelt|to collect, gather
schauen, schaute, geschaut|to look
schützen, schützte, geschützt|to protect
töten, tötete, getötet|to kill
umfassen, umfasste, umfasst|to include, consist of
verfügen, verfügte, verfügt|to have at one's disposal, be in charge
verurteilen, verurteilte, verurteilt|to condemn
verweisen, verwiese, verwiesen|to refer
absolut|absolute
betroffen|affected, concerned, shocked
entscheidend|decisive
erheblich|considerable
gefährlich|dangerous
komplett|complete
normal|normal
schwach|weak
sportlich|athletic
toll|great, terrific
tot|dead
übrigens|by the way
unbekannt|unknown
unterwegs|on the way
vorhanden|available, existing
wahr|true
wahrscheinlich|probable
