angeblich|alleged
bayerisch|Bavarian
betont|emphasized
bunt|colorful
damalig|at that time
einst|once, at one time, one day
endgültig|final
freiwillig|voluntary
grundsätzlich|fundamental
heftig|heavy, violent
indem|while, by
jüdisch|Jewish
klassisch|classical
langsam|slow
laufend|ongoing
möglichst|as possible
obere|upper
praktisch|practical
rechts|on, to to the right
regional|regional
selber|self
türkisch|Turkish
unabhängig|independent
unmittelbar|immediate, direct
vorher|beforehand, earlier
wissenschaftlich|scientific, scholarly
zentral|central
zufolge|according to
ablehnen, lehnt ab, abgelehnt|to refuse, reject, turn down
antreten, trat an, angetreten|to take up, start
aufbauen, baute auf, aufgebaut|to build up
begleiten, begleitete, begleitet|to accompany
behandeln, behandelte, behandelt|to treat
behaupten, behauptete, behauptet|to claim, maintain
beschäftigen, beschäftigte, beschäftigt|to employ, be busy, deal with
betrachten, betrachtete, betrachtet|to look at, consider
betreffen, betraf, betroffen|to affect, concern
beziehen, bezog, bezogen|to refer, put, get
brechen, (bricht), brach, gebrochen|to break
erfüllen, erfüllte, erfüllt|to grant, fulfill
ergänzen, ergänzte, ergänzt|to add, complete
erlauben, erlaubte, erlaubt|to allow, permit
errichten, errichtet, errichtet|to build, erect
ersetzen, ersetzte, ersetzt|to replace, reimburse
feststellen, stellte fest, festgestellt|to establish, detect
fliegen, flog, ist geflogen|to fly
funktionieren, funktionierte, funktioniert|to function, work
gefallen (gefällt), gefiel, gefallen|to please
landen, landete, ist / hat gelandet|to land
schätzen, schätzte, geschätzt|to estimate, value
überraschen, überraschte, überrascht|to surprise
veranstalten, veranstaltete, veranstaltet|to organize
vergeben (vergibt), vergab, vergeben|to award, allocate, forgive, give away
verschwinden, verschwand, ist verschwunden|to disappear
vorsehen (sieht vor), sah vor, vorgesehen|to plan, provide for
zwingen, zwang, gezwungen|to force
die Änderung, -en|change
die Bäuerin, -nen|farmer (f)
der Bauer, -n|farmer (m)
der Beruf, -e|occupation, job, profession
der Eintritt, -e|entry, admission
die Erde, -n|earth, ground, soil
die Erinnerung, -en|memory
die Fahrt, -en|drive, trip
das Feld, -er|field
das Fernsehen, -|television
der Flughafen, die Flughäfen|airport
der Gedanke, -n|thought
die Gelegenheit, -en|opportunity
die Gewerkschaft, -en|trade union
der Gruß, die Grüße|greeting
die Halle, -n|hall
der Höhepunkt, -e|hig point, peak
der Hund, -e|dog
das Interview, -s|interview
das Jahrzehnt, -e|decade
die Kommission, -en|commission, committee
der Konflikt, -e|conflict
die Kontrolle, -n|inspection
die Meisterschaft, -en|championship
der Nachfolger, -|successor (m)
die Nachfolgerin, -nen|successor (f)
die Pfarrerin, -nen|pastor (f)
der Pfarrer, -|pastor (m)
die Post|mail, post office
der Post, -s|post (on a blog)
die Produktion, -en|production
die Reform, -en|reform
die Schauspielerin, -nen|actress
der Schauspieler, -|actor
der Schilling, -|Schilling (former Austrian currency)
die Sorge, -n|worry
die Spur, -en|track, lane
der Star, -s|star (celebrity), starling
der Stein, -e|stone, rock
die Stiftung, -en|foundation, institution, donation
die Tour, -en|tour, trip
die Untersuchung, -en|examination, investigation
der Verlust, die Verluste|loss
das Wetter, -|weather
der Zeitpunkt, -e|moment, point in time
