die Angst, die Ängste | fear
die Anmeldung, -en | registration, enrollment
der Auftritt, -e | appearance (on stage), gig
die Aussage, -n | statement
die Bedeutung, -en | meaning
der Begriff, -e | concept, term
die Behörde, -n | agency, authority
der Besuch, -e | visit
der Boden, die Böden | soil, bottom, floor
das Ding, -e | thing
das Dorf, die Dörfer | village
der Druck | pressure, strain, printing
der Fan, -s | fan
die Feuerwehr, -en | fire department
die Gefahr, -en | danger
der Gott, die Götter | God
das Herz, -en | heart
das Institut, -e | institute
die Jugend | youth, young people, adolescence
der Kollege, -n | colleague (m)
die Kollegin, -nen | colleague (f)
das Konzept, -e | concept
die Leiterin, -nen | leader (f)
der Leiter , - | leader (m)
die Leiter, -n | ladder
die Leitung, -en | line, wire, leadership
die Liebe, -n | love
die Linie, -n | line, route
das Mittel, - | means
die Niederlage, -n | defeat, loss
die Organisation, -en | organization
die Rede, -n | speech, address
das Schloss, die Schlösser | lock, castle
die Sicherheit | security, safety, sureness
die Soldatin, -nen | soldier (f)
der Soldat, -en | soldier (m)
der Sport | sport(s)
die Sportart, -en | type of sport
die Sprecherin, -nen | speaker, announcer (f)
der Sprecher, - | speaker, announcer (m)
der Start, -s | start, launch, takeoff
das System, -e | system
die Union, -en | union
der Vergleich, -e | comparison
der Vorschlag, die Vorschläge | suggestion, recommendation
die Weise, -n | manner, way
die Zusammenarbeit, -en | collaboration
anschließend | subsequent(ly), after that
bevor | before
bisherig | up to now, previous, former
breit | broad, wide
darin | in it, therein
darum | around it, therefore, for that reason
darunter | under it, including
dein | your (thine)
durchaus | thoroughly, definitely
endlich | finally, at long last
eng | tight, narrow, close
evangelisch | Protestant, evangelic
früher | earlier, former, previous
gleichzeitig | simultaneous, at the same time
immerhin | after all
jährlich | annual(ly)
jemand | someone, anyone
katholisch | Catholic
längst | long ago, long since
lediglich | merely, just
mittlerweile | meanwhile
musikalisch | musical
national | national
nötig | necessary, required
notwendig | necessary, indispensible
oben | above, at the top
schwierig | difficult, tough
selten | seldom
sogenannt | so-called
täglich | daily
teuer | expensive, dear
verantwortlich | responsible
viert- | fourth
weltweit | worldwide
wesentlich | essential(ly)
wirtschaftlich | economic, financial
zufrieden | pleased, satisfied
zuständig | responsible, competent
(sich) äußern, äußerte, geäußert | to voice, express
beschließen, beschloss, beschlossen | to resolve, decide
beschreiben, beschrieb, beschrieben | to describe
besuchen, besuchte, besucht | to visit, attend
beteiligen, beteiligte, beteiligt | to participate, partake
dauern, dauerte, gedauert | to last, endure
dienen, diente, gedient | to serve
erfahren (erfährt), erfuhr, erfahren | to experience, find out, to learn, to hear
erfolgen, erfolgte, erfolgt | to take place, occur
ergeben (ergibt), ergab, ergeben | to result in
erleben, erlebte, erlebt | to experience, to undergo an experience
kämpfen, kämpfte, gekämpft | to brawl, fight
kaufen, kaufte, gekauft | to buy
kritisieren, kritisierte, kritisiert | to criticize
reden, redete, geredet | to speak, talk
scheitern, scheiterte, ist gescheitert | to fail, founder
sichern, sicherte, gesichert | to secure, ensure
singen, sang, gesungen | to sing
verhindern, verhinderte, verhindert | to prevent
verkaufen, verkaufte, verkauft | to sell
wechseln, wechselte, gewechselt | to change, switch
wünschen, wünschte, gewünscht | to wish
Der Apfel ist rot. | The apple is red.
Die da? | That one there?
Was ist das? | What is that?
Ist das das Buch? | Is that the book?
Ist das eine gute Idee? | Is that a good idea?
Ein Bier, bitte! | One beer, please!
Keine Ahnung! | (I have) no clue!
Kein Problem! | No problem!
Keine Sorge! | Don't worry!
Das ist sein Problem. | That's his (its) problem.
jeden Tag | every day
jede Person | every person
Was macht ihr denn hier? | So, what are you all doing here?
War das ihre Idee? | Was that her / their idea?
Was macht man hier? | What do people do here? What does one do here?
Wo bist du? | Where are you?
Wie heißen Sie? | What is your name? Lit. How are you called?
er wäscht sich | he's washing himself
außer sich | distraught, beside onself
nicht schlecht | not bad
heute nicht | not today
ich auch | me too
wenn's geht | if possible
Als ich da war. | When I was there
