der Abschluss, die Abschlüsse|end, conclusion, completion of studies (graduation)
die Anlage, -n|(sports) complex, investment, attachment
der Antrag, die Anträge|application (form)
die Antwort, -en|answer
der Arbeitsplatz, die Arbeitsplätze|workplace
der Auftrag, die Aufträge|instructions, order, job
der Bezirk, -e|district
der Bruder, die Brüder|brother
die Dame, -n|lady
das Datum, die Daten|date, data
der Dienst, -e|service
die Einrichtung, -en|institution, furnishings
die Expertin, -nen|expert (f)
der Experte, -n|expert (m)
der Fuß, die Füße|foot, feet
die Gemeinderätin, -nen|councilwoman
der Gemeinderat, die Gemeinderäte|councilman
die Geschäftsführerin, -nen|general manager (f), executive director
der Geschäftsführer, -|general manager (m), executive director
das Glück|fortune, luck, happiness
der Herbst, -e|fall (harvest), autumn
die Hoffnung, -en|hope
das Hotel, -s|hotel
die Königin, -nen|queen
der König, -e|king
das Krankenhaus, die Krankenhäuser|hospital
der Kurs, -e|course, exchange rate
der Lauf, die Läufe|run
die Lehrerin, -nen|teacher (f)
der Lehrer, -|teacher (m)
das Lied, -er|song
die Liga, die Ligen|league, division
das Medium, die Medien|medium, media
die Mehrheit, -en|majority
die Meisterin, -nen|master (f), champion
der Meister, -|master (m), champion
die Ministerpräsidentin, -nen|prime minister (f)
der Ministerpräsident, -en|prime minister (m)
das Parlament, -e|parliament
die Position, -en|position
der Prozess, -e|process
der Rang, die Ränge|rank
der Rat, die Räte|advice, council, counselor
die Regel, -n|rule
das Rennen, -|race, running
der Schaden, die Schäden|damage
die Sitzung, -en|meeting, session
der Stand, die Stände|stand, stage
die Strecke, -n|stretch, distance, route
die Täterin, -nen|perp, culprit (f)
der Täter, -|perp, culprit (m)
das Urteil, -e|verdict, judgment
der Verband, die Verbände|association, bandage
das Verhältnis, -se|relationship, proportion
das Volk, die Völker|people, folk, nation
das Vorjahr, -e|previous year
die Vorstellung, -en|idea, introduction, performance
der Wettbewerb, -e|competition, contest
der Wunsch, die Wünsche|wish, desire
das Zentrum, die Zentren|center
der Zusammenhang, die Zusammenhänge|connection, context
abschließen, schloß ab, abgeschlossen|to lock, conclude
ankündigen, kündigte an, angekündigt|to announce
belegen, belegt, belegte|to attend (a class), to cover, to prove
bestimmen, bestimmte, bestimmt|to decide, determine
darstellen, stellte dar, dargestellt|to depict, portrary
einladen (lädt ein), lud ein, eingeladen|to invite, to load
entdecken, entdeckte, entdeckt|to discover
enthalten (enthält), enthielt, enthalten|to contain
erzielen, erzielte, erzielt|to achieve, reach
fördern, förderte, gefördert|to promote, support
geraten (gerät), geriet, geraten|to get in(to), to turn out
hängen, hängte, gehängt|to hang
hängen, hing, gehangen|to be hanging
kündigen, kündigte, gekündigt|to terminate, resign, cancel
leiten, leitete, geleite|to lead
liefern, lieferte, geliefert|to deliver, supply, provide
lösen, löste, gelöst|to solve, loosen
passieren, passierte, ist passiert|to happen
reagieren, reagierte, reagiert|to react
stattfinden, fand statt, stattgefunden|to take place
überzeugen, überzeugte, überzeugt|to convince, persuade
verbessern, verbesserte, verbessert|to improve
verdienen, verdiente, verdient|to earn, deserve
verlangen, verlangte, verlangt|ro require, demand
versprechen (verspricht), versprach, versprochen|to promise
sich versprechen (verspricht), versprach, versprochen|to misspeak, to make a mistake
verzichten|to forgo, do without
warnen, warnte, gewarnt|to warn
außer|except for, besides
bereit|ready
diesmal|this time
gewiss|certain(ly)
hinaus|out, beyond
hingegen|whereas, however
insbesondere|especially
italienisch|Italian
jedenfalls|in any case
jugendlich|youthful, adolescent
leider|unfortunately
links|left
morgen|tomorrow
nein, nee, nö|no
plötzlich|suddenly
somit|consequently
traditionell|traditional
übrig|remaining, left
ursprünglich|original(ly)
weder|neither
wobei|whereby, where, at what, whereas
zugleich|both, at the same time
einen Abschluss mit Auszeichnung machen|to graduate with honors
Baseballanlage|ballpark
Das ist eine sichere Anlage.|That's a secure investment.
In der Anlage finden Sie . . .|Attached (e-mail) you will find . . .
auf Antrag|upon request
ein Antrag auf Zulassung|an application for admission
Antwort nicht nötig.|No reply necessary.
als Antwort auf jdn/etw|in response to sb/sth
Antwort auf eine Frage|answer to a question
den Auftrag bekommen|to get the contract
im Auftrag von|on behalf of
ein ländlicher Bezirk|a rural borough
im Dienst|on duty
modern Einrichtungen|modern conveniences
außer Dienst|off duty
zum Glück|fortunately
So ein Glück!|What luck!
eine kulturelle Einrichtung|a cultural institution
Pech im Spiel, Glück in der Liebe|Unlucky at cards, lucky in love.
Frühling vor, Herbst zurück.|Spring forward. Fall back.
Viel Glück!|Good luck!
in guter Hoffnung|pregnant (euphemism)
Dollarkurs|dollar rate/price
im Lauf von|in the course of
im Lauf der Jahre|over the years
Tennis-Liga|tennis league
in der Hoffnung|in the hopes of
zweite Liga|2nd division
militärischer Rang|military rank
ein zweisemestriger Kurs|a 2-term course
ein Rat|a piece of advice
in der Regel|as a rule
100-Meter Lauf|100 M dash
Rennen um die Präsidentschaft|presidential race
aus dem Rennen sein|to be out of the picture or running (idiom)
Durch Schaden wird man klug.|Live and learn.
in / auf einer Sitzung|at a meeting
der Stand der Dinge|the state of affairs
In dieser Sache ist das Urteil noch nicht gesprochen|No sentence / judgment has been given yet.
Der Pilot fliegt die Strecke Berlin-Moskau.|The pilot flies the Berlin-Moscow route.
Er hatte einen dicken Verband um den Kopf|He had a thick bandage around his head.
Kopf-an-Kopf Rennen|head-to-head race
im Verhältnis zu|relative to
ein Verhältnis mit jdm haben|to be having a fling w. sb
ein gutes Verhältnis mit jdm haben|to have rapport w/ sb
Du bist für den Schaden verantwortlich.|You are responsible for the damage.
Du machst dir keine Vorstellung.|You have no idea.
Bei der Vorstellung nannte er seinen Namen.|He said his name at the introduction.
an einem Wettbewerb teilnehmen|to enter / take part in a competition
auf hohem Stand|at a high level
Wettbewerb um einen Preis|competition for a prize
in Zusammenhang mit|in connection w/
eine lange Strecke|a long way
Wir haben den Boden mit einem neuen Teppich belegt.|We put a new carpet on the floor.
das Tempo bestimmen|to set the pace
bestimmen,was geschieht|to call the shots
der Verband der Journalisten|the journalists' association
Der Maler hatte den Gott als einen Jüngling dargestellt|The painter portrayed the god as a lad.
Du bist herzlich eingeladen.|You are warmly invited.
Sie luden ihn zum Abendessen ein.|They invited him to dinner.
Robert Koch entdeckte den Tuberkelbazillus.|Robert Koch discovered the tuberculosis bacillus.
Seine Worte enthalten einen wahren Kern.|His words contain a kernel of truth.
Heute keine Vorstellung.|No performance today.
ein Tor erzielen|to score a goal (Fußball)
Punkte erzielen|to score, win points
das Geschäft fördern|to encourage business
Wettbewerb senkt die Preise.|Competition brings down prices.
in Panik geraten|to (get into a) panic
Die Welt ist aus den Fugen geraten.|The world is out of joint.
Ich habe das Poster an die Wand gehängt.|I hung the poster on the wall.
in diesem Zusammenhang|in this context
Das Poster hängt an der Wand.|The poster is hanging on the wall.
Er hat gekündigt.|He quit (his job).
Nächstes Semester belege ich einen Deutschkurs über Film.|Next term I'm taking a German class about film.
ein Meeting leiten|to chair a meeting
eine Diskussion leiten|to lead / moderate a discussion
schwer zu bestimmen|hard to determine
Die Biene liefert Honig und Wachs.|The bee produces honey and wax.
Was ist passiert?|What happened?
die Zunge lösen|to loosen one's tongue (idiom)
Die Pupillen reagieren auf Licht.|The pupils react to light.
Darf ich Sie einladen?|Will you be my guest?
Das Konzert findet heute Abend statt.|The concert is tonight.
Wir müssen sie überzeugen, dass. . .|We must persuade them that . . .
Er ist ein überzeugter Kommunist.|He is a firm believer in Communism.
Davon bin ich nicht überzeugt.|I am not convinced / sure of it.
Spinat enthält viel Eisen.|Spinach contains a lot of iron.
einen Fehler verbessern|to correct a mistake
Er verdient sein Geld als Arbeiter.|He earns his money as a worker / laborer.
das Resultat erzielen|to achieve the result
Ich verpreche es dir.|I promise you.
Diese Aufgabe verlangt Geduld.|This task requires patience.
Es tut mir Leid. Ich habe mich versprochen.|Sorry, I misspoke.
ein Projekt fördern|to promote a project
auf den Thron verzichten|to abdicate from the throne
jdn vor einer Gefahr warnen|to warn sb of a danger
außer Kontrolle geraten|to go out of control
niemand außer dir|no one except for you
